Experiment,Parameter,Best Val Acc,Final Val Acc,Final Val Loss
Learning Rate,0.0001,0.2216,0.2216,2.2243
Learning Rate,0.001,0.6732,0.6732,0.8504
Learning Rate,0.01,0.8365,0.8353,0.4593
Learning Rate,0.1,0.8577,0.8554,0.3946
Batch Size,16,0.8423,0.8423,0.4444
Batch Size,32,0.8407,0.8407,0.4516
Batch Size,64,0.8323,0.8323,0.4723
Batch Size,128,0.8236,0.8236,0.5061
Architecture,小网络,0.8360,0.8360,0.4694
Architecture,中网络,0.8371,0.8371,0.4621
Architecture,大网络,0.8342,0.8342,0.4654
Optimizer,SGD,0.8298,0.8275,0.4812
Optimizer,Adam,0.8830,0.8813,0.3419
